Year,Rank,Team,W,L,T,PCT,G,AB,H,BA,IP,R,ER,ERA,PO,A,E
2024,110,Young Harris (Conference Carolinas),29,24,0,0.547,53,1456,420,0.288,397.2,231,197,3.47,1182,527,70
2024,113,Florida Tech (Sunshine State),25,21,0,0.543,48,1319,379,0.287,305,184,155,3.56,1081,372,60
2024,114,Lubbock Christian (Lone Star),26,22,0,0.542,51,1364,391,0.287,352.2,237,180,3.57,859,327,49
2024,115,Indiana (PA) (PSAC),29,25,0,0.537,58,1497,429,0.287,276,184,141,3.58,742,370,46
2024,116,St. Cloud St. (NSIC),30,26,0,0.536,46,1185,338,0.285,351,227,180,3.59,1017,311,55
2024,117,California (PA) (PSAC),23,20,0,0.535,58,1515,432,0.285,385.2,263,198,3.59,1153,461,67
2024,118,Caldwell (CACC),25,22,0,0.532,24,607,173,0.285,295.1,204,152,3.6,929,360,54
2024,119,Barton (Conference Carolinas),27,24,0,0.529,55,1411,402,0.285,336.2,209,175,3.64,1143,384,64
2024,119,King (TN) (Conference Carolinas),27,24,0,0.529,55,1411,402,0.285,336.2,209,175,3.64,1143,384,64
2024,121,Northwest Mo. St. (Mid-America Intercollegiate),28,25,0,0.528,64,1815,516,0.284,374.2,235,196,3.66,943,303,53
2024,122,Belmont Abbey (Conference Carolinas),22,20,0,0.524,58,1527,434,0.284,341.2,242,179,3.67,935,399,57
2024,123,Bridgeport (CACC),25,23,0,0.521,50,1317,374,0.284,410.1,268,215,3.67,740,333,46
2024,124,Fort Hays St. (Mid-America Intercollegiate),27,25,0,0.519,47,1194,339,0.284,308.2,207,162,3.67,993,403,60
2024,125,Ill. Springfield (GLVC),28,26,0,0.519,51,1311,372,0.284,282,174,149,3.7,1035,243,55
2024,126,Millersville (PSAC),25,24,0,0.51,50,1366,387,0.283,319,210,169,3.71,991,492,64
2024,126,Northern St. (NSIC),25,24,0,0.51,50,1366,387,0.283,319,210,169,3.71,991,492,64
2024,126,St. Anselm (NE10),25,24,0,0.51,50,1366,387,0.283,319,210,169,3.71,991,492,64
2024,130,Mo.-St. Louis (GLVC),28,27,0,0.509,49,1278,361,0.282,360.2,246,193,3.75,1062,435,65
2024,131,Georgia College (Peach Belt),28,28,0,0.5,52,1399,395,0.282,377.1,240,202,3.75,1002,483,65
2024,131,Concord (MEC),27,27,0,0.5,52,1399,395,0.282,377.1,240,202,3.75,1002,483,65
2024,131,Eastern N.M. (Lone Star),26,26,0,0.5,52,1399,395,0.282,377.1,240,202,3.75,1002,483,65
2024,131,Newberry (SAC),25,25,0,0.5,52,1399,395,0.282,377.1,240,202,3.75,1002,483,65
2024,131,Saint Rose (NE10),19,19,0,0.5,52,1399,395,0.282,377.1,240,202,3.75,1002,483,65
2024,136,Cal Poly Humboldt (CCAA),24,25,0,0.49,55,1388,389,0.28,327,225,179,3.83,992,373,61
2024,137,Winston-Salem (CIAA),19,20,0,0.487,48,1232,345,0.28,284.2,208,156,3.84,828,260,49
2024,138,Goldey-Beacom (CACC),26,28,0,0.481,54,1415,395,0.279,324.2,209,178,3.84,1011,276,58
2024,138,Southeastern Okla. (GAC),26,28,0,0.481,54,1415,395,0.279,324.2,209,178,3.84,1011,276,58
2024,140,Ferris St. (GLIAC),25,27,0,0.481,49,1307,364,0.279,266.1,220,147,3.86,933,375,59
2024,140,Slippery Rock (PSAC),25,27,0,0.481,49,1307,364,0.279,266.1,220,147,3.86,933,375,59
2024,142,Shepherd (PSAC),23,26,0,0.469,41,1047,291,0.278,356.1,235,198,3.89,782,229,46
2024,143,Bentley (NE10),20,23,0,0.465,41,1066,296,0.278,349.1,237,195,3.91,912,274,54
2024,143,Bowie St. (CIAA),20,23,0,0.465,41,1066,296,0.278,349.1,237,195,3.91,912,274,54
2024,145,Ga. Southwestern (Peach Belt),25,29,0,0.463,51,1298,359,0.277,290,228,163,3.93,722,351,49
2024,145,Texas Woman's (Lone Star),25,29,0,0.463,51,1298,359,0.277,290,228,163,3.93,722,351,49
2024,147,Catawba (SAC),23,27,0,0.46,52,1338,369,0.276,302.1,218,171,3.96,1001,350,62
2024,147,Central Mo. (Mid-America Intercollegiate),23,27,0,0.46,52,1338,369,0.276,302.1,218,171,3.96,1001,350,62
2024,147,Montevallo (Gulf South),23,27,0,0.46,52,1338,369,0.276,302.1,218,171,3.96,1001,350,62
2024,150,Bloomfield (CACC),20,24,0,0.455,48,1290,355,0.275,328.1,256,190,4.05,1137,446,73
2024,151,Claflin (CIAA),19,23,0,0.452,35,880,242,0.275,333,232,193,4.06,988,415,65
2024,152,Western Ore. (Great Northwest),21,26,0,0.447,52,1388,381,0.274,364.2,258,212,4.07,1172,487,77
2024,153,Georgian Court (CACC),20,25,0,0.444,46,1239,340,0.274,202.1,177,119,4.12,920,383,61
2024,154,Missouri S&T (GLVC),27,34,0,0.443,44,1178,323,0.274,347.2,244,206,4.15,1077,350,67
2024,155,Ark.-Monticello (GAC),23,29,0,0.442,52,1372,376,0.274,259.2,187,154,4.15,1025,379,66
2024,155,Truman St. (GLVC),23,29,0,0.442,52,1372,376,0.274,259.2,187,154,4.15,1025,379,66
2024,157,Dominican (CA) (PacWest),19,24,0,0.442,52,1379,377,0.273,337,247,201,4.18,980,459,68
2024,157,Southern Conn. St. (NE10),19,24,0,0.442,52,1379,377,0.273,337,247,201,4.18,980,459,68
2024,159,Lees-McRae (Conference Carolinas),18,23,0,0.439,46,1203,328,0.273,328,243,198,4.23,827,377,57
2024,160,East Central (GAC),21,27,0,0.438,52,1321,360,0.273,345,258,210,4.26,914,437,64
2024,160,San Fran. St. (CCAA),21,27,0,0.438,52,1321,360,0.273,345,258,210,4.26,914,437,64
