Rank,Team,W,L,T,PCT,G,AB,H,BA,IP,R,ER,ERA,PO,A,E
115,D'Youville (ECC),23,20,0,0.535,54,1453,423,0.291,296.2,188,155,3.66,950,352,55
116,Fort Hays St. (Mid-America Intercollegiate),24,21,0,0.533,48,1316,383,0.291,344,234,181,3.68,1029,455,63
117,USC Aiken (Peach Belt),28,25,0,0.528,47,1249,363,0.291,276,190,146,3.7,1092,438,65
118,Southwest Minn. St. (NSIC),29,26,0,0.527,46,1174,341,0.29,370.1,260,196,3.7,914,326,53
119,Edward Waters (SIAC),27,25,0,0.519,50,1212,352,0.29,190.2,137,101,3.71,1082,431,65
119,Minot St. (NSIC),27,25,0,0.519,50,1212,352,0.29,190.2,137,101,3.71,1082,431,65
119,UNC Pembroke (Conference Carolinas),27,25,0,0.519,50,1212,352,0.29,190.2,137,101,3.71,1082,431,65
122,Maryville (MO) (GLVC),28,26,0,0.519,52,1393,404,0.29,334.2,238,182,3.81,999,324,57
123,Augusta (Peach Belt),29,27,0,0.518,53,1376,399,0.29,337,226,186,3.86,1195,493,73
124,Mercy (ECC),23,22,0,0.511,45,1146,332,0.29,260.1,192,145,3.9,875,302,51
125,Truman St. (GLVC),26,25,0,0.51,53,1462,423,0.289,347.2,234,194,3.91,1106,402,66
125,Valdosta St. (Gulf South),26,25,0,0.51,53,1462,423,0.289,347.2,234,194,3.91,1106,402,66
127,CSU Pueblo (RMAC),27,26,0,0.509,42,1101,318,0.289,418.1,276,235,3.93,992,449,64
127,Grand Valley St. (GLIAC),27,26,0,0.509,42,1101,318,0.289,418.1,276,235,3.93,992,449,64
129,Davis & Elkins (MEC),28,28,0,0.5,55,1428,412,0.289,323.1,227,182,3.94,1302,382,75
129,Black Hills St. (RMAC),27,27,0,0.5,55,1428,412,0.289,323.1,227,182,3.94,1302,382,75
129,Ga. Southwestern (Peach Belt),27,27,0,0.5,55,1428,412,0.289,323.1,227,182,3.94,1302,382,75
129,Ohio Dominican (G-MAC),27,27,0,0.5,55,1428,412,0.289,323.1,227,182,3.94,1302,382,75
129,Cal St. Monterey Bay (CCAA),26,26,0,0.5,55,1428,412,0.289,323.1,227,182,3.94,1302,382,75
129,Lander (Peach Belt),25,25,0,0.5,55,1428,412,0.289,323.1,227,182,3.94,1302,382,75
129,Lee (Gulf South),25,25,0,0.5,55,1428,412,0.289,323.1,227,182,3.94,1302,382,75
129,Caldwell (CACC),24,24,0,0.5,55,1428,412,0.289,323.1,227,182,3.94,1302,382,75
129,Claflin (CIAA),24,24,0,0.5,55,1428,412,0.289,323.1,227,182,3.94,1302,382,75
129,Ashland (G-MAC),23,23,0,0.5,55,1428,412,0.289,323.1,227,182,3.94,1302,382,75
129,Catawba (SAC),23,23,0,0.5,55,1428,412,0.289,323.1,227,182,3.94,1302,382,75
129,Northwest Nazarene (Great Northwest),23,23,0,0.5,55,1428,412,0.289,323.1,227,182,3.94,1302,382,75
129,Virginia St. (CIAA),14,14,0,0.5,55,1428,412,0.289,323.1,227,182,3.94,1302,382,75
142,Arkansas Tech (GAC),27,28,0,0.491,56,1515,433,0.286,237.2,182,140,4.12,910,353,58
142,St. Edward's (Lone Star),27,28,0,0.491,56,1515,433,0.286,237.2,182,140,4.12,910,353,58
144,CSUSB (CCAA),26,27,0,0.491,54,1388,396,0.285,342.2,264,203,4.15,1093,408,69
144,Southeastern Okla. (GAC),26,27,0,0.491,54,1388,396,0.285,342.2,264,203,4.15,1093,408,69
146,Simon Fraser (Great Northwest),24,25,0,0.49,57,1619,461,0.285,303.2,265,182,4.2,1082,401,69
147,Georgia College (Peach Belt),23,24,0,0.489,54,1404,399,0.284,301.2,257,182,4.22,984,299,60
148,Young Harris (Conference Carolinas),22,23,0,0.489,41,1106,314,0.284,322.2,245,196,4.25,1056,482,72
149,Fort Valley St. (SIAC),21,22,0,0.488,42,1103,313,0.284,308.2,220,188,4.26,1128,452,74
150,Saint Michael's (NE10),18,19,1,0.487,47,1220,346,0.284,303.1,240,185,4.27,958,451,66
151,William Jewell (GLVC),24,26,0,0.48,56,1510,426,0.282,318.1,246,195,4.29,1204,417,76
152,Chico St. (CCAA),22,24,0,0.478,52,1415,399,0.282,357,251,219,4.29,1114,460,74
